Para os Baixinhos,5.9,,Sport,"-22.95173, -43.15762",Graalzinho,Rio de Janeiro,
Formiga Atômica,5.6,,Sport,"-22.95173, -43.15762",Graalzinho,Rio de Janeiro,
Graalzinho,5.5,,Sport,"-22.95173, -43.15762",Graalzinho,Rio de Janeiro,
Infravermelho,5.6,,Trad,"-22.9504, -43.1635",Morro da Urca,Rio de Janeiro,
Costao,5.7,,Sport,"-22.949900, -43.159100",Pao de Acucar,Rio de Janeiro,
Coringa,5.6,,Sport,"-22.949900, -43.159100",Pao de Acucar,Rio de Janeiro,
Kakaroots,5.9,,Sport,"-22.978850, -43.196080",Cantagalo,Rio de Janeiro,
CERJ,5.9,PG13,Trad,"22.33888, -42.72446",Capacete,Rio de Janeiro,Fucking sick bro
Costao,5.7,,Sport,"-22.949900, -43.159100",Pao de Acucar,Rio de Janeiro,hehehe
