Grade,Count,Type
5.1,12,Trad
5.2,35,Trad
5.3,17,Trad
5.4,76,Trad
5.5,41,Trad
5.6,73,Trad
5.7-,3,Trad
5.7,70,Trad
5.7+,23,Trad
5.8-,2,Trad
5.8,71,Trad
5.8+,7,Trad
5.9-,4,Trad
5.9,59,Trad
5.9+,10,Trad
5.10a,83,Trad
5.10b,23,Trad
5.10c,7,Trad
5.10d,17,Trad
5.11a,25,Trad
5.11b,3,Trad
5.11c,1,Trad
5.11d,4,Trad
5.12a,3,Trad
