Timeframe,"Days Climbed","Ticks Made","Pitches Climbed","Feet Climbed",Partners,Climbs,Areas,Countries,States
"Last 90 Days",14,41,94,"6,160<sup>ft</sup>",15,40,7,2,3
"Last Year",105,226,469,"40,867",39,154,31,3,7
"Last 5 Years",386,910,"1,748","152,448",91,551,129,4,23
"All Time",465,"1,219","2,162","184,048",110,695,144,4,25
