date,grade,name,type
2022-05-29,5.7,"Inversao Feminina",Sport
2022-05-29,5.11b,"Mico Mija",Sport
2022-05-30,5.9,"Crystal Cannibal",Sport
2022-06-01,5.8,"Diedro Pegasus",Trad
2022-06-02,5.9,K2,Trad
2022-06-05,5.10a,"Via dos Italianos",Sport
2022-06-06,5.7+,"Chamine Stop",Trad
2022-06-07,5.4,Despacito,Trad
2022-06-07,5.9+,Thanos,Trad
2022-06-29,5.10b,Helgepraten,Sport
2022-06-29,5.8,Hallingmarsjen,Sport
2022-06-30,5.10b,Hoppalong,Sport
2022-06-30,5.8,"Bakom Synger Skogene",Sport
2022-07-02,5.8,Solstikk,Trad
2022-07-02,5.8,Skyggediederet,Trad
2022-07-02,5.7,"Oye for Oye",Trad
2022-07-23,5.8,Gandalf,Trad
2022-07-24,5.10d,"Vestpillaren Direct",Trad
2022-07-25,5.8+,Gollum,Trad
2022-07-28,5.10c,"Guns N' Roses",Trad
2022-07-28,5.10a,"Gamle rev",Trad
2022-07-28,5.11a,"The Boys First Journey at Sea",Trad
2022-07-30,5.10a,"Tromso ekspressen",Trad
2022-07-30,5.8,Gandalf,Trad
2022-07-31,5.10a,"There Is To Do",Trad
2022-07-31,5.8,"Bare Blabaer",Trad
2022-08-02,5.10c,Englevinger,Trad
2022-09-03,5.7,"Pleasant Overhangs",Trad
2022-09-03,5.6,Debbie,Trad
2022-09-03,5.7,Banana,Trad
2022-09-25,5.8,"Buzzard's Breath",Sport
2022-09-25,5.10c,"Too Old to Rock and Roll",Sport
2022-09-25,5.10a,Casablanca,Sport
2022-09-25,5.10b,"Venus Scribner",Sport
2022-09-25,5.8,"Pillar Assault",Sport
2022-09-25,5.9+,"Orange Peel",Sport
2022-09-25,5.11a,Butterfingers,Sport
2022-09-26,5.7+,"Zoo View",Trad
2022-09-26,5.3,Hopscotch,Trad
2022-10-08,5.10c,"Too Old to Rock and Roll",Sport
2022-10-08,5.10c,"Devil in the White House",Sport
2022-10-08,5.10a,Casablanca,Sport
2022-10-08,5.8+,"True Grits",Sport
2022-10-20,5.10a,"The Rico Suave Arete aka Rico Suave",Sport
2022-10-20,5.9+,"Second Thoughts",Trad
2022-10-20,5.7,"Sand in My Crack (Cuddle Monkey)",Trad
2022-10-20,5.10a,"The Rico Suave Arete aka Rico Suave",Sport
2022-10-21,5.7+,"Hippie Dreams",Sport
2022-10-21,5.10c,"Baby Has a Bolt Gun",Sport
2022-10-22,5.10a,"Quick Robin, to the Batcrack!",Trad
2022-10-22,5.10b,"Rod Serling Crack",Trad
2022-10-22,5.10b,"Burning Calves",Trad
2022-10-23,5.11b,"Overhang Hangover",Sport
2022-10-23,5.8,"Pillar Assault",Sport
2022-10-23,5.8,"Pillar Assault",Sport
2022-10-29,5.7+,"Block Route",Trad
2022-10-29,5.5,"The Great Arch",Trad
2022-11-12,5.10a,Harpoon,Trad
2022-11-12,5.11a,"Anguish of Captain Bligh",Trad
2022-11-12,5.8,Boardwalk,Trad
