date,grade,name,type
2025-10-19,5.8,"Climbin' Punishment",Trad
2025-10-22,5.2,"Old Ladies Route",Trad
2025-10-24,5.6,"Stolen Lexus",Sport
2025-10-24,5.7,Hammered,Sport
2025-10-26,5.7,Ecstasy,Trad
2025-10-31,5.9+,"Four Sheets to the Wind",Trad
2025-11-02,5.6,"Afternoon Delight",Trad
2025-11-05,5.12a,Starry,Sport
2025-11-05,5.9+,Bullocks,Sport
2025-11-05,5.10c,"Rodent's Party",Sport
2025-11-05,5.9,"Girl Boner",Sport
2025-11-05,5.8,Berecik,Sport
2025-11-06,5.9+,Supercrack,Trad
2025-11-06,5.10b,"Wham Bam Thanks for the Jam",Trad
2025-11-24,5.7+,"Block Route",Trad
2025-11-24,5.5,"The Great Arch",Trad
2025-11-28,5.8,"Buzzard's Breath",Sport
2025-11-28,5.10c,Erocktica,Sport
2025-12-01,5.7+,"Fruit Loops",Trad
2025-12-01,5.8+,Granola,Trad
2025-12-26,5.6,"Knob Wall",Trad
2025-12-26,5.10c,Misty,Sport
2026-01-08,5.10a,"Will The Wolf Survive?",Sport
2026-01-08,5.11c,"Lobos Trabajando",Sport
2026-01-08,5.8,"The Anvil",Sport
2026-01-08,5.9,"Howlin' Wolf",Sport
2026-01-09,5.11b,"Evil Shenanigans",Sport
2026-01-09,5.8,"Yankee Clipper (p1 only)",Sport
2026-01-13,5.9,CDC&J,Sport
2026-01-13,5.8,"Graffiti Route",Sport
2026-01-13,5.10a,"Jungle Mountaineering",Sport
2026-01-14,5.10d,"Pitch Black",Sport
2026-01-15,5.10b,"Aguja Celo Rey",Sport
2026-01-16,5.11b,"When You're Lost In The Wild",Sport
2026-01-17,5.5,"Lisa's Pizzas",Sport
2026-01-20,5.10c,"Pancho Villa Rides Again",Sport
2026-04-01,5.4,"Le Gourmet",Trad
2026-04-01,5.6,"Front C",Trad
2026-04-01,5.6,"Critter Crack",Trad
2026-04-02,5.4,"Gunsight to South Peak",Trad
2026-04-04,5.10a,Kamikaze,Sport
2026-04-06,5.9,"Crotchrocket Spire",Sport
2026-04-12,5.4,"Blueberry Squishy",Sport
2026-04-12,5.5,"Hot Dog Roller",Sport
2026-04-12,5.5,"Apu's Corner",Sport
2026-04-12,5.8,"Convenience Forever",Sport
2026-04-12,5.9+,"Freshness Never",Sport
2026-04-12,5.4,"Bargain Bin",Sport
2026-04-22,5.6,Maxim,Sport
2026-04-22,5.11a,Polish,Sport
2026-04-24,5.9,"Svarte Stripe",Sport
2026-04-24,5.10a,Simpson,Trad
2026-04-25,5.10b,Lillegoll,Sport
2026-05-07,5.9,"Smack The Lip",Sport
2026-05-07,5.9,"Throwing Buckets",Sport
2026-05-07,5.9,"Duck Dive",Sport
2026-05-07,5.10a,Jaws,Sport
2026-05-08,5.4,"Conn's West",Trad
2026-05-09,5.6,"Candy Corner",Trad
2026-05-09,5.4,"Totem (p1 only)",Trad
2026-05-12,5.8,"Fear of Flying",Trad
2026-05-12,5.8,"Block Party",Trad
2026-05-15,5.8,T&T,Trad
2026-05-15,5.7,"Bee Sting Corner",Trad
2026-05-16,5.1,"Worrell's Thicket",Trad
2026-05-16,5.4,"Up and Coming",Trad
2026-05-16,5.2,"Old Ladies Route",Trad
2026-05-16,5.4,"Windy Corner",Trad
2026-05-17,5.2,"Old Ladies Route",Trad
2026-05-17,5.8,"Alcoa Presents",Trad
2026-05-24,5.7,"Wazoo Tower Regular Route",Trad
2026-05-27,5.4,"Ecstasy Junior",Trad
2026-05-27,5.4,"Le Gourmet",Trad
2026-05-27,5.6,"Front C",Trad
2026-05-28,5.7,Tuscarora,Sport
2026-05-31,5.6,Thais,Trad
2026-05-31,5.5,"Thais - Variation Thais Escape",Trad
2026-06-02,5.7,"SE Ridge Traverse",Trad
2026-06-05,5.2,"Old Man's Route",Trad
2026-06-08,5.8,"Touching Cotton",Trad
2026-06-09,5.2,"Old Man's Route",Trad
2026-06-11,5.8,T&T,Trad
2026-06-11,5.7,"Bee Sting Corner",Trad
2026-06-12,5.6,"Roy Gap Chimney's",Trad
2026-06-13,5.6,"Roy Gap Chimney's",Trad
2026-06-20,5.3,"Skyline Traverse",Trad
2026-06-21,5.4,"Le Gourmet",Trad
2026-06-21,5.2,"Old Man's Route",Trad
2026-06-23,5.6,"Unknown Line",Sport
2026-06-23,5.7,"Black Bag Job",Sport
2026-06-23,5.7,"Alien Autopsy",Trad
2026-06-28,5.2,"Old Man's Route",Trad
2026-06-29,5.2,"Old Man's Route",Trad
2026-06-30,5.9,"Right Tope",Trad
2026-07-02,5.4,"Cockscomb Pine Tree Traverse",Trad
2026-07-02,5.4,"Windy Corner",Trad
2026-07-03,5.6,Thais,Trad
2026-07-03,5.5,"Thais - Variation Thais Escape",Trad
2026-07-04,5.6,"Roy Gap Chimney's",Trad
2026-07-05,5.4,"Gert's Grungy Gulley",Trad
2026-07-05,5.4,"Humphrey's Head",Trad
2026-07-07,5.5,"Hot Dog Roller",Sport
